File,aid,Date,(1) Evergreen Needleleaf Forests,(2) Evergreen Broadleaf Forests,(4) Deciduous Broadleaf Forests,(5) Mixed Forests,(8) Woody Savannas,(9) Savannas,(10) Grasslands,(11) Permanent Wetlands,(12) Croplands,(13) Urban and Built-up Lands,(14) Cropland/Natural Vegetation Mosaic,(16) Barren,(17) Water Bodies
LC_Type1_2018001_aid0210,aid0210,2018-01-01,,43.0,,,58.0,,1.0,,,,,,
LC_Type1_2018001_aid0211,aid0211,2018-01-01,,53.0,,,26.0,1.0,4.0,,,,,,
LC_Type1_2018001_aid0212,aid0212,2018-01-01,,,,,60.0,,6.0,,1.0,,,,
LC_Type1_2018001_aid0213,aid0213,2018-01-01,,35.0,,,35.0,2.0,9.0,,,,1.0,,
LC_Type1_2018001_aid0214,aid0214,2018-01-01,,,,,17.0,,27.0,,7.0,,1.0,,
LC_Type1_2018001_aid0215,aid0215,2018-01-01,,26.0,,,41.0,,9.0,,2.0,,1.0,,
LC_Type1_2018001_aid0216,aid0216,2018-01-01,,4.0,,,57.0,,11.0,,5.0,,,,
LC_Type1_2018001_aid0217,aid0217,2018-01-01,,1.0,,,38.0,1.0,76.0,,14.0,,4.0,,
LC_Type1_2018001_aid0218,aid0218,2018-01-01,,2.0,,,45.0,,,,,,,,
LC_Type1_2018001_aid0219,aid0219,2018-01-01,,,,,61.0,,5.0,,,,1.0,,
LC_Type1_2018001_aid0220,aid0220,2018-01-01,,21.0,,,57.0,,11.0,,,,,,
LC_Type1_2018001_aid0221,aid0221,2018-01-01,,7.0,,,81.0,,1.0,,,,,,
LC_Type1_2018001_aid0222,aid0222,2018-01-01,,33.0,,,488.0,,62.0,,22.0,,4.0,,
LC_Type1_2018001_aid0223,aid0223,2018-01-01,,,,,9.0,,39.0,,30.0,,5.0,,
LC_Type1_2018001_aid0224,aid0224,2018-01-01,,2.0,,,66.0,,4.0,,4.0,,,,
LC_Type1_2018001_aid0225,aid0225,2018-01-01,,66.0,,,160.0,,2.0,,,,,,
LC_Type1_2018001_aid0226,aid0226,2018-01-01,,2.0,,,277.0,,4.0,,,,,,
LC_Type1_2018001_aid0227,aid0227,2018-01-01,,35.0,,,148.0,,13.0,,,,,,
LC_Type1_2018001_aid0228,aid0228,2018-01-01,,,,,73.0,1.0,26.0,,9.0,1.0,5.0,,
LC_Type1_2018001_aid0229,aid0229,2018-01-01,,1.0,,,61.0,,14.0,,65.0,,13.0,,
LC_Type1_2018001_aid0230,aid0230,2018-01-01,,,,,60.0,,8.0,,2.0,,,,
LC_Type1_2018001_aid0231,aid0231,2018-01-01,,200.0,,,53.0,,13.0,,,,,,
LC_Type1_2018001_aid0232,aid0232,2018-01-01,,2.0,,,43.0,,21.0,,16.0,,2.0,,
LC_Type1_2018001_aid0233,aid0233,2018-01-01,,,,,131.0,,4.0,,1.0,,2.0,,
LC_Type1_2018001_aid0234,aid0234,2018-01-01,,318.0,,,185.0,,20.0,,,,,,
LC_Type1_2018001_aid0235,aid0235,2018-01-01,,,,,50.0,2.0,20.0,,14.0,8.0,4.0,,
LC_Type1_2018001_aid0236,aid0236,2018-01-01,,99.0,,,32.0,,1.0,,,,,,
LC_Type1_2018001_aid0237,aid0237,2018-01-01,,,,,62.0,,15.0,,,,,,
LC_Type1_2018001_aid0238,aid0238,2018-01-01,,3.0,,,133.0,,2.0,,,,,,
LC_Type1_2018001_aid0239,aid0239,2018-01-01,,,,,30.0,,21.0,,2.0,,,,
LC_Type1_2018001_aid0240,aid0240,2018-01-01,,36.0,,,128.0,,31.0,,3.0,,2.0,,
LC_Type1_2018001_aid0241,aid0241,2018-01-01,,,,,43.0,,14.0,,,,,,
LC_Type1_2018001_aid0242,aid0242,2018-01-01,,21.0,,,97.0,,6.0,,,,,,
LC_Type1_2018001_aid0243,aid0243,2018-01-01,,,,,,,2.0,,55.0,,1.0,,
LC_Type1_2018001_aid0244,aid0244,2018-01-01,,1.0,,,35.0,,3.0,,,,,,
LC_Type1_2018001_aid0245,aid0245,2018-01-01,,,,,12.0,,8.0,,4.0,,,,
LC_Type1_2018001_aid0246,aid0246,2018-01-01,,,,,14.0,,8.0,,9.0,4.0,2.0,,
LC_Type1_2018001_aid0247,aid0247,2018-01-01,,,,,35.0,,1.0,,,,,,
LC_Type1_2018001_aid0248,aid0248,2018-01-01,,,,,19.0,,7.0,,,,,,
LC_Type1_2018001_aid0249,aid0249,2018-01-01,,,,,42.0,,3.0,,,,,,
LC_Type1_2018001_aid0250,aid0250,2018-01-01,,,,,37.0,,1.0,,,,,,
LC_Type1_2018001_aid0251,aid0251,2018-01-01,,,,,29.0,,5.0,,3.0,,1.0,,
LC_Type1_2018001_aid0252,aid0252,2018-01-01,,,,,79.0,,,,,,,,
